,year,date,away_team,home_team,away_score,home_score,winner
16,2014,11/28/2014, Colorado State, Air Force,24.0,27.0, Air Force
17,2014,11/28/2014, Virginia, Virginia Tech,20.0,24.0, Virginia Tech
18,2014,11/28/2014, East Carolina, Tulsa,49.0,32.0, East Carolina
19,2014,11/29/2014, Cincinnati, Temple,14.0,6.0, Cincinnati
20,2014,11/29/2014, South Carolina, Clemson,17.0,35.0, Clemson
21,2014,11/29/2014, Georgia Tech, Georgia,30.0,24.0, Georgia Tech
22,2014,11/29/2014, Kentucky, Louisville,40.0,44.0, Louisville
23,2014,11/29/2014, West Virginia, Iowa State,37.0,24.0, West Virginia
24,2014,11/29/2014, Michigan, Ohio State,28.0,42.0, Ohio State
25,2014,11/29/2014, North Texas, UTSA,27.0,34.0, UTSA
26,2014,11/29/2014, Old Dominion, Florida Atlantic,31.0,28.0, Old Dominion
27,2014,11/29/2014, Rice, Louisiana Tech,31.0,76.0, Louisiana Tech
28,2014,11/29/2014, Illinois, Northwestern,47.0,33.0, Illinois
29,2014,11/29/2014, Purdue, Indiana,16.0,23.0, Indiana
30,2014,11/29/2014, North Carolina State, North Carolina,35.0,7.0, North Carolina State
31,2014,11/29/2014, Syracuse, Boston College,7.0,28.0, Boston College
32,2014,11/29/2014, Louisiana-Lafayette, Troy,42.0,23.0, Louisiana-Lafayette
33,2014,11/29/2014, Utah, Colorado,38.0,34.0, Utah
34,2014,11/29/2014, Texas State, Georgia State,54.0,31.0, Texas State
35,2014,11/29/2014, Idaho, Appalachian State,28.0,45.0, Appalachian State
36,2014,11/29/2014, New Mexico State, Arkansas State,35.0,68.0, Arkansas State
37,2014,11/29/2014, Wyoming, New Mexico,30.0,36.0, New Mexico
38,2014,11/29/2014, San Jose State, San Diego State,7.0,38.0, San Diego State
39,2014,11/29/2014, Notre Dame, USC,14.0,49.0, USC
40,2014,11/29/2014, Mississippi State, Mississippi,17.0,31.0, Mississippi
41,2014,11/29/2014, Florida, Florida State,19.0,24.0, Florida State
42,2014,11/29/2014, Baylor, Texas Tech,48.0,46.0, Baylor
43,2014,11/29/2014, Rutgers, Maryland,41.0,38.0, Rutgers
44,2014,11/29/2014, UAB, Southern Mississippi,45.0,24.0, UAB
45,2014,11/29/2014, Michigan State, Penn State,34.0,10.0, Michigan State
46,2014,11/29/2014, Minnesota, Wisconsin,24.0,34.0, Wisconsin
47,2014,11/29/2014, Kansas, Kansas State,13.0,51.0, Kansas State
48,2014,11/29/2014, Connecticut, Memphis,10.0,41.0, Memphis
49,2014,11/29/2014, Tennessee, Vanderbilt,24.0,17.0, Tennessee
50,2014,11/29/2014, BYU, California,42.0,35.0, BYU
51,2014,11/29/2014, Louisiana-Monroe, Georgia Southern,16.0,22.0, Georgia Southern
52,2014,11/29/2014, Hawai'i, Fresno State,21.0,28.0, Fresno State
53,2014,11/29/2014, Wake Forest, Duke,21.0,41.0, Duke
54,2014,11/29/2014, Pittsburgh, Miami (Florida),35.0,23.0, Pittsburgh
55,2014,11/29/2014, Middle Tennessee, UTEP,21.0,24.0, UTEP
56,2014,11/29/2014, Auburn, Alabama,44.0,55.0, Alabama
57,2014,11/29/2014, Oregon, Oregon State,47.0,19.0, Oregon
